country,application_group,n_accepted,n_accepted_with_conditions,n_compatible,n_rejected,n_unclear,n_total_records,cell_text,status,status_value,cluster_value,country_order,cluster_label_raw
Italy,Generic compostable packaging / plastics,2,0,2,4,1,7,2/4,Rejected-dominant,2,0.3333333333333333,19,3.0
Japan,Food-waste liners / collection bags,0,4,4,2,1,7,4/2,Compatible-dominant,3,0.6666666666666666,24,3.0
Japan,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Japan,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Japan,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Japan,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Japan,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Japan,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,24,3.0
Latvia,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,35,
Latvia,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,35,
Lithuania,Food-waste liners / collection bags,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,36,
Lithuania,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,36,
Luxembourg,Food-waste liners / collection bags,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,12,2.0
Luxembourg,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,12,2.0
Luxembourg,Tea/coffee preparation items,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,12,2.0
Luxembourg,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,12,2.0
Luxembourg,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,12,2.0
Luxembourg,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,12,2.0
Luxembourg,Generic compostable packaging / plastics,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,12,2.0
Mexico,Food-waste liners / collection bags,1,0,1,0,0,1,1/0,Compatible-dominant,3,1.0,14,2.0
Mexico,Food-service ware / takeaway packaging,0,0,0,0,0,0,—,No application-level record,0,,14,2.0
Mexico,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,14,2.0
Mexico,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,14,2.0
Mexico,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,14,2.0
Mexico,Flexible films/wraps/pouches,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,14,2.0
Mexico,Generic compostable packaging / plastics,0,0,0,0,0,0,—,No application-level record,0,,14,2.0
Netherlands,Food-waste liners / collection bags,2,1,3,3,0,6,3/3,Balanced conflict,4,0.5,26,3.0
Netherlands,Food-service ware / takeaway packaging,0,0,0,4,0,4,0/4,Rejected-dominant,2,0.0,26,3.0
Netherlands,Tea/coffee preparation items,0,0,0,7,0,7,0/7,Rejected-dominant,2,0.0,26,3.0
Netherlands,Food-soiled paper / fibre packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,26,3.0
Netherlands,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,26,3.0
Netherlands,Flexible films/wraps/pouches,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,26,3.0
Netherlands,Generic compostable packaging / plastics,0,0,0,7,0,7,0/7,Rejected-dominant,2,0.0,26,3.0
New Zealand,Food-waste liners / collection bags,0,1,1,1,0,2,1/1,Balanced conflict,4,0.5,17,3.0
New Zealand,Food-service ware / takeaway packaging,0,1,1,0,0,1,1/0,Compatible-dominant,3,1.0,17,3.0
